"X","Y","LSOA2011"
323795.005,537379.526,"E01019083"
314579.015,541894.092,"E01019082"
315449.989,541986.037,"E01019081"
312720.133,530507.746,"E01019080"
381676.142,407087.207,"E01005056"
381945.732,407766.083,"E01005057"
381123.849,408166.803,"E01005054"
304161.409,529576.508,"E01019089"
380992.28,407260.481,"E01005055"
311859.111,530636.269,"E01019088"
377532.562,412469.295,"E01005052"
377649.261,411918.247,"E01005053"
378113.234,412367.782,"E01005050"
377694.256,412830.745,"E01005051"
381227.505,406852.942,"E01005058"
333716.621,396146.746,"E01007006"
384057.318,395413.545,"E01005246"
389265.13,402076.835,"E01005247"
384647.442,395558.133,"E01005244"
340953.762,559148.347,"E01019238"
383733.519,395589.191,"E01005245"
347257.701,561881.579,"E01019239"
384642.001,395204.634,"E01005242"
383223.963,395672.489,"E01005243"
384025.834,395126.796,"E01005240"
384572.892,394838.155,"E01005241"
388515.419,401814.117,"E01005248"
388123.873,401738.583,"E01005249"
331003.631,392621.12,"E01007236"
330186.067,393810.119,"E01007237"
331219.532,393155.945,"E01007234"
330395.905,392801.148,"E01007235"
331326.983,392789.025,"E01007232"
427935.074,542074.252,"E01033197"
428036.044,542833.362,"E01033195"
439540.498,547191.618,"E01033198"
436217.539,556742.429,"E01033076"
438358.051,552702.997,"E01033077"
437923.074,564114.801,"E01033074"
438435.286,558755.355,"E01033075"
427362.648,576638.968,"E01027397"
427296.126,576977.019,"E01027396"
427773.466,576230.938,"E01027395"
427262.043,575944.108,"E01027394"
429596.061,581174.414,"E01027393"
429825.991,581604.518,"E01027392"
430318.65,581635.956,"E01027391"
399122.694,628089.82,"E01027390"
427389.219,577540.252,"E01027399"
427394.799,578179.911,"E01027398"
426656.545,586668.715,"E01027526"
427356.887,587178.937,"E01027527"
426711.121,587669.076,"E01027524"
426025.881,587763.179,"E01027525"
424835.693,582069.039,"E01027522"
425441.816,581898.114,"E01027523"
425383.716,582588.153,"E01027520"
424749.02,582425.159,"E01027521"
427689.56,587500.166,"E01027528"
427191.666,587594.288,"E01027529"
430820.704,582005.913,"E01027416"
409157.011,563202.174,"E01027497"
433016.355,576984.979,"E01027417"
408676.073,563982.172,"E01027496"
431393.931,581260.831,"E01027414"
391917.942,570838.607,"E01027495"
430983.87,581683.026,"E01027415"
424972.274,577011.098,"E01027412"
394220.233,563720.839,"E01027493"
425473.729,576886.32,"E01027413"
392806.076,564228.165,"E01027492"
426118.796,575896.476,"E01027410"
392307.948,563648.725,"E01027491"
426671.768,576265.868,"E01027411"
393231.263,563652.461,"E01027490"
430655.344,576713.11,"E01027418"
410036.064,562453.238,"E01027499"
433782.01,576177.508,"E01027419"
410345.307,563188.535,"E01027498"
425308.207,533631.877,"E01020836"
425198.697,534587.971,"E01020837"
428456.567,525013.503,"E01020834"
425519.966,533431.899,"E01020835"
427607.573,525340.857,"E01020832"
428650.587,525516.52,"E01020833"
435760.544,528975.956,"E01020830"
428221.264,525439.407,"E01020831"
422730.872,526823.294,"E01020838"
423038.662,526572.757,"E01020839"
429277.633,586744.986,"E01033716"
418646.904,612567.382,"E01033717"
415549.205,572098.024,"E01033714"
418891.092,612951.075,"E01033715"
415300.128,594782.105,"E01027450"
429283.167,591098.181,"E01027451"
419837.783,584618.866,"E01027458"
415985.35,536095.734,"E01020876"
416470.283,535614.703,"E01020877"
423887.761,529665.205,"E01020874"
423094.614,531236.545,"E01020875"
420681.091,529414.394,"E01020872"
424351.403,529901.055,"E01020873"
420098.65,528847.284,"E01020870"
420710.343,528610.499,"E01020871"
415880.139,535576.425,"E01020878"
415692.677,535025.043,"E01020879"
437910.337,558962.464,"E01008817"
435470.995,556987.932,"E01008814"
436774.953,556391.38,"E01008812"
436388.44,556011.755,"E01008813"
436122.746,556306.308,"E01008810"
435300.724,556500.54,"E01008811"
437008.262,559008.963,"E01008819"
445737.751,523484.074,"E01012197"
461299.22,515960.562,"E01012117"
446419.852,523483.561,"E01012196"
455218.005,520575.814,"E01012114"
444306.313,521143.89,"E01012195"
444460.642,520670.333,"E01012194"
455251.887,517925.513,"E01012112"
444258.056,521424.899,"E01012193"
455662.004,519574.587,"E01012113"
444191.159,521774.084,"E01012192"
455824.192,518585.401,"E01012110"
441575.033,519148.907,"E01012191"
455472.736,518351.253,"E01012111"
441013.209,519365.824,"E01012190"
428043.102,554978.941,"E01008176"
418308.8,563198.208,"E01008177"
427721.366,555892.096,"E01008174"
427033.261,555914.764,"E01008175"
427938.346,554420.636,"E01008172"
