"X","Y","MSOA2011"
365081.13,401672.113,"E02001313"
344357.517,388124.464,"E02001391"
360098.72,402969.312,"E02001310"
332806.81,443032.831,"E02005328"
335832.776,388245.338,"E02001390"
369436.175,402189.055,"E02001311"
333803.252,442749.366,"E02005329"
339446.13,386182.526,"E02001399"
357120.61,400474.546,"E02001318"
337350.389,386891.856,"E02001398"
364443.058,400346.097,"E02001319"
372301.874,436224.179,"E02005276"
368217.155,432547.192,"E02005277"
377051.452,436947.871,"E02005274"
360389.493,437004.472,"E02005275"
373764.579,441332.497,"E02005272"
361114.065,437856.49,"E02005273"
374330.946,444906.588,"E02005270"
374583.26,442050.936,"E02005271"
385438.474,385492.839,"E02001226"
388215.481,384837.554,"E02001227"
395155.898,385486.758,"E02001224"
387507.199,385443.391,"E02001225"
384796.772,386148.821,"E02001222"
389745.749,385841.19,"E02001223"
386655.447,386214.125,"E02001220"
381346.694,425403.04,"E02005278"
466515.662,368204.689,"E02005893"
446823.013,341719.73,"E02004080"
454676.938,359729.126,"E02005892"
456839.257,359940.796,"E02005891"
455973.39,360689.443,"E02005890"
449122.094,333623.199,"E02004089"
447458.07,333562.293,"E02004088"
480373.016,354408.693,"E02005899"
448748.275,360914.675,"E02005819"
459616.84,357632.987,"E02005898"
441237.327,294044.748,"E02005387"
442790.681,294380.502,"E02005386"
443363.973,295205.164,"E02005385"
439706.235,296971.435,"E02005384"
444541.567,297124.854,"E02005383"
446531.2,297596.002,"E02005382"
447035.891,303269.429,"E02005381"
440419.044,304608.307,"E02005380"
443737.427,293086.626,"E02005389"
441843.894,293456.193,"E02005388"
442680.585,313891.017,"E02005406"
510268.047,313922.991,"E02005487"
510049.896,319962.271,"E02005486"
431967.699,315792.552,"E02005404"
509107.586,320573.322,"E02005485"
445099.465,314121.528,"E02005405"
492697.403,324169.571,"E02005484"
435220.734,316308.507,"E02005402"
510076.625,328203.626,"E02005483"
443679.236,315815.661,"E02005403"
494179.701,336067.192,"E02005482"
442698.358,317147.556,"E02005400"
491564.107,335023.863,"E02005481"
